平台,平台ID,C门店ID,最新评分,有订单
美团,24223240,C13582,4.5,True
美团,24333944,C13710,0.0,False
美团,24391368,C13678,4.5,True
美团,24396182,C13673,4.5,True
美团,24420792,C15076,4.3,True
美团,24474151,C13716,4.4,True
美团,24475421,C13722,0.0,False
美团,2449985,C01403,4.8,True
美团,24558516,C03033,4.7,True
美团,24560207,C13721,4.3,True
美团,24561596,C13509,4.5,True
美团,24714860,C13745,4.1,True
美团,24750712,C13757,4.4,True
美团,24807477,C13781,4.3,True
美团,24834468,C14572,4.1,True
美团,24883231,C13516,4.7,True
美团,24938784,C13747,4.2,True
美团,2499679,C02195,0.0,False
美团,2500993,C12566,4.8,True
美团,25023533,C13803,0.0,False
美团,25023791,C13877,4.6,True
美团,25024186,C13868,0.0,False
美团,25028217,C13826,4.5,True
美团,25035611,C13829,0.0,False
美团,25150687,C13598,0.0,True
美团,25183630,C13893,4.4,True
美团,25198388,C02555,4.4,True
美团,25321386,C10525,0.0,False
美团,25321530,C13822,4.7,True
美团,25327655,C13901,0.0,True
美团,25364213,C13865,4.4,True
美团,25371016,C13586,4.1,True
美团,25373292,C13845,4.3,True
美团,25374893,C03951,4.7,True
美团,25379857,C13882,4.3,False
美团,25503984,C13912,4.7,True
美团,25504532,C05419,4.7,True
美团,25522543,,0.0,False
美团,25525978,,0.0,True
美团,25576271,C13995,0.0,False
美团,25576768,C13970,4.2,True
美团,25577050,C13913,4.2,True
美团,25594298,,0.0,False
美团,25594301,C11927,0.0,False
美团,25600090,C02221,4.6,True
美团,25656421,C13880,0.0,False
美团,25656898,C13786,4.3,True
美团,25831169,C12279,4.6,True
美团,25863223,C14003,0.0,True
美团,25863313,C06258,4.3,True
美团,25944571,C12079,4.6,True
美团,25985071,C14037,0.0,False
美团,25985366,C14018,0.0,False
美团,25986203,C06753,0.0,False
美团,25987113,C13700,0.0,True
美团,25989788,C12578,0.0,False
美团,26025255,C09165,4.5,True
美团,26026256,C11938,0.0,False
美团,26065394,C05727,4.6,True
美团,26126445,C01199,3.9,True
美团,26126595,C00855,0.0,False
美团,2614484,C02137,4.5,True
美团,26175695,C14033,4.3,True
美团,26226064,C14117,4.3,True
美团,26321901,C05955,0.0,False
美团,26343322,C02536,3.3,True
美团,2634339,C01122,4.6,True
美团,26366126,C14046,4.4,True
美团,26370378,C14196,4.4,True
美团,26386622,C14092,0.0,False
美团,26387735,C14113,0.0,False
美团,26434437,C02005,4.3,True
美团,26540059,C03628,0.0,False
美团,26734776,C14189,4.3,True
美团,2675962,C01413,4.8,True
美团,26772372,C06342,4.1,True
美团,26816279,C05140,4.7,True
美团,26837005,C01079,0.0,True
美团,26851551,C13427,4.5,True
美团,26972129,C11040,0.0,False
美团,27079714,C14264,4.8,True
美团,2708372,C00732,4.1,True
美团,2712458,C00516,0.0,True
美团,27189714,C07790,4.5,True
美团,27218461,C14298,4.5,True
美团,27248731,C14299,0.0,True
美团,27346646,C10427,4.2,False
美团,27350232,C14297,4.5,True
美团,27368303,C05817,4.0,True
美团,27372943,C12587,0.0,True
美团,27374281,C01112,0.0,False
美团,27467282,C07217,4.5,True
美团,27467284,C00481,4.5,True
美团,27467838,C07685,4.6,True
美团,27527503,C00177,4.5,True
美团,27711946,C14318,4.7,True
美团,27798140,C14358,0.0,False
美团,27798143,C14321,0.0,False
美团,27798145,C13447,4.5,True
美团,27798154,C14347,4.5,True
美团,27900231,C14381,4.2,True
美团,27900235,C14384,0.0,False
美团,27900251,C13069,4.4,True
美团,27976920,C11896,4.2,True
美团,27976932,C14276,0.0,False
美团,27978608,C07581,0.0,True
美团,28027015,C14368,4.7,True
美团,280339,C13117,4.7,True
美团,28091976,C14390,4.4,True
美团,28189645,C14345,4.5,True
美团,28189647,C13823,4.5,True
美团,28189691,C14409,4.2,False
美团,28249970,C14452,4.0,True
美团,28298073,C02837,4.3,True
美团,28312390,C04203,4.6,True
美团,28327994,C04616,4.4,True
美团,28361345,C14307,3.9,True
美团,28394211,C14436,0.0,False
美团,28404724,C14464,0.0,False
美团,28404726,C14485,4.4,True
美团,28552152,C14349,4.7,True
美团,28568439,C11842,4.4,True
美团,2861172,C02210,4.3,True
美团,28742718,C14453,0.0,False
美团,28838943,C14546,0.0,False
美团,28879897,C14489,4.8,True
美团,28933086,C14588,0.0,False
美团,29102428,C14569,4.2,True
美团,29102455,C14073,4.5,True
美团,29163412,C14559,4.5,True
美团,29226867,C11723,4.6,True
美团,29271374,C14616,4.0,True
美团,29310495,C14568,4.6,True
美团,2931442,C02192,4.7,True
美团,2931451,C02082,4.6,True
美团,29427387,C14603,4.7,True
美团,2946704,C00492,4.7,True
美团,2946722,C00726,4.6,True
美团,2946724,C00716,4.3,True
美团,2946727,C00707,4.6,True
美团,2946730,C01043,0.0,False
美团,2946731,C01038,3.9,True
美团,2946732,C00999,4.5,False
美团,2946734,C01056,4.6,True
美团,2946738,C01032,4.4,True
美团,2946741,C00983,0.0,False
美团,2947442,C00485,4.6,True
美团,2947443,C00480,4.5,True
美团,2947445,C09064,4.3,True
美团,2947447,C00765,4.5,True
美团,2947449,C00846,4.7,True
美团,2947453,C01016,4.6,True
美团,29507937,C12423,0.0,False
美团,29522025,C00965,4.6,True
美团,29539859,C05780,4.8,True
美团,29564611,C13643,4.5,True
美团,29659719,C13968,4.4,True
美团,29675062,C14612,4.7,True
美团,29784319,C10443,4.4,True
美团,29801200,C14651,4.5,True
美团,29832805,C00310,0.0,False
美团,2989654,C01248,4.2,True
美团,29926983,C09103,0.0,True
美团,30036090,C14661,4.6,True
美团,30179765,C14720,0.0,False
美团,30232740,C14668,0.0,True
美团,30233115,C11343,4.6,True
美团,30235494,C14662,4.4,False
美团,3026431,C07470,0.0,True
美团,3026437,C01167,4.6,True
美团,3026438,C01066,4.5,True
美团,3026439,C01065,0.0,True
美团,30347033,C14725,0.0,True
美团,30347048,C14731,4.4,True
美团,30406107,C14709,4.6,True
美团,30424053,C00525,4.4,True
美团,3048101,C12033,4.1,True
美团,3048102,C03109,4.1,True
美团,30487234,C00989,0.0,True
美团,30563911,C14530,0.0,False
美团,30610997,C14779,0.0,True
美团,3065456,C12696,4.6,True
美团,30826021,C14803,4.6,True
美团,30908325,C14039,4.6,True
美团,30986849,C14793,4.4,True
美团,31108028,C14829,4.6,True
美团,31174152,C06626,0.0,True
美团,31408612,C10096,0.0,False
美团,31422849,C14862,4.3,True
美团,3153187,C02807,4.3,True
美团,3153188,C02068,4.6,True
美团,31565412,C14640,0.0,False
美团,31742023,C08799,4.2,True
美团,31882495,C14861,0.0,False
美团,31937398,C14927,4.2,False
美团,31977433,C14906,4.3,True
美团,32061644,C14949,4.2,True
美团,3207733,C02303,4.4,True
美团,32107817,C14930,0.0,False
美团,3213049,C01190,3.7,True
美团,32208702,C09275,0.0,True
美团,32248280,C14991,4.5,True
美团,32392502,C14978,4.3,False
美团,32445247,C14998,4.6,True
美团,32508356,C15001,4.3,True
美团,32571365,C15002,4.5,True
美团,32571367,C09551,0.0,True
美团,3268359,C03099,4.5,True
美团,32721313,C14996,4.5,True
美团,32782314,C15010,4.0,True
美团,32889589,C14221,0.0,True
美团,32957511,C15019,4.7,True
美团,3299055,C02075,0.0,False
美团,32999930,C12085,4.2,True
美团,33013437,C00356,0.0,True
美团,33102213,C15009,4.5,True
美团,331484,C02583,4.0,True
美团,33275100,C14988,0.0,False
美团,33291522,C15039,0.0,True
美团,33358896,C14990,4.6,True
美团,33363160,C15015,4.3,True
美团,33527951,C15017,0.0,True
美团,3362403,C02668,4.4,True
美团,33627123,C15133,4.5,True
美团,337255,C02266,4.6,True
美团,33737713,,4.6,True
美团,33738020,,0.0,True
美团,33768829,,4.8,True
美团,33815916,,4.6,True
美团,33815960,,4.7,True
美团,33913090,,4.7,True
美团,34009025,,4.9,True
美团,3432145,C02647,4.7,True
美团,3432732,C01972,4.5,True
美团,3433440,C00963,4.0,True
美团,3447741,C02925,4.5,True
美团,3466211,C00899,0.0,True
美团,351225,C02448,4.7,True
美团,3539504,C01150,4.6,True
美团,3551448,C03013,4.0,True
美团,3551454,C01936,4.4,True
美团,3551521,C00401,4.2,True
美团,3551524,C01986,4.4,True
美团,3556519,C01078,4.3,True
美团,3567468,C02120,4.6,True
美团,3632183,C07661,4.7,True
美团,3632191,C00023,4.0,True
美团,3632192,C00081,4.4,True
美团,3632196,C00003,4.6,True
美团,3632197,C00013,4.4,True
美团,3632202,C00002,4.7,True
美团,3632660,C00117,0.0,True
美团,3632755,C00021,4.1,True
美团,3632757,C00127,4.6,True
美团,3632758,C00025,0.0,True
美团,3632759,C00039,4.4,True
美团,366226,C02180,4.1,False
美团,3709878,C00372,4.5,True
美团,3709880,C00149,0.0,True
美团,3709881,C00288,0.0,True
美团,3709883,C00189,4.1,True
美团,3709890,C02299,4.5,True
美团,3742813,C01400,0.0,False
美团,3766460,C15041,4.6,True
美团,3800103,C02245,0.0,False
美团,3800475,C00258,4.5,True
美团,388276,C02513,4.5,True
美团,3901238,C00478,4.4,True
美团,3901263,C00689,4.7,True
美团,3901264,C00700,4.7,True
美团,3901266,C00985,4.1,True
美团,3901269,C00893,4.5,True
美团,3901270,C00892,4.8,True
美团,3901703,C01162,0.0,True
美团,3901715,C00981,0.0,True
美团,3901717,C00690,4.5,True
美团,3901798,C01173,4.3,True
美团,3901800,C00912,0.0,True
美团,3952184,C02858,0.0,False
美团,399585,C14627,4.6,True
美团,4034668,C00489,4.5,True
美团,405353,C02712,4.7,True
美团,410437,C02933,4.5,True
美团,4117735,C00173,4.5,True
美团,4117898,C00993,0.0,True
美团,4142305,C01861,4.2,True
美团,4163854,C00780,4.7,True
美团,4164208,C00671,4.5,True
美团,4248420,C00409,4.4,True
美团,4248606,C02498,4.6,True
美团,4291338,C02049,4.0,True
美团,4333488,C02162,4.6,True
美团,4357515,C00815,0.0,False
美团,4357516,C00729,4.3,True
美团,4389516,C00241,4.3,True
美团,4389520,C03363,0.0,False
美团,4438420,C03738,0.0,True
美团,4449537,C00930,4.2,True
美团,4504926,C03463,4.7,True
美团,4596548,C03765,4.7,True
美团,4596633,C03234,0.0,True
美团,4653665,C01373,4.2,True
美团,4653668,C02017,4.2,True
美团,4653671,C00046,4.4,True
美团,4653681,C03131,4.4,True
美团,475300,C03017,0.0,False
美团,4770489,C02236,4.9,True
美团,4831399,C02535,4.3,True
美团,4832537,C03978,4.7,True
美团,4832630,C03967,4.7,True
美团,4832633,C02688,0.0,False
美团,4851073,C01301,4.6,True
美团,492346,C02256,4.7,True
美团,4942047,C03943,4.4,True
美团,4942833,C12875,0.0,False
美团,5059259,C04169,4.1,True
美团,512994,C02919,4.6,True
美团,5134373,C03947,4.9,True
美团,5134449,C04070,4.0,True
美团,5162924,C14999,4.2,False
