平台,平台ID,C门店ID,最新评分,有订单
美团,15996133,C07737,4.5,True
美团,15997147,C01848,4.4,True
美团,16008250,C10402,0.0,False
美团,1609551,C02333,4.3,False
美团,16174802,C03612,0.0,True
美团,1620832,C01125,0.0,False
美团,16212352,C03922,0.0,True
美团,16212700,C00461,4.7,True
美团,16212964,C13399,4.6,True
美团,16214879,C10885,0.0,True
美团,16228817,C10998,4.3,True
美团,16241466,C10910,4.7,True
美团,16426169,C00398,0.0,True
美团,16426288,C00392,4.6,True
美团,16426475,C00405,4.6,True
美团,16431383,C10562,4.2,True
美团,16433517,C00900,4.6,True
美团,16433779,C11006,4.0,True
美团,16442261,C11106,4.6,True
美团,16442743,C10783,4.6,True
美团,16442952,C11064,4.6,True
美团,16445271,C01072,4.4,True
美团,16480674,C00402,4.6,True
美团,1655244,C02288,4.3,True
美团,16601678,C11141,3.5,True
美团,16642805,C10051,4.0,True
美团,1665449,C01933,4.6,True
美团,16660145,C11152,4.5,True
美团,16696642,C11251,4.7,True
美团,16728225,C00008,4.7,True
美团,16733848,C11187,4.0,True
美团,16760578,C12078,4.7,True
美团,16772616,C00808,0.0,True
美团,1677882,C01077,3.9,True
美团,16787170,C01058,0.0,True
美团,16795853,C10981,4.1,False
美团,16800143,C10897,4.1,True
美团,16895113,C11177,4.2,True
美团,17127175,C11280,4.3,True
美团,1713009,C00988,0.0,False
美团,17166293,C11134,4.1,True
美团,17191876,C06012,0.0,False
美团,1722539,C02923,4.3,True
美团,17257910,C11369,4.2,True
美团,17288846,C11377,4.7,True
美团,17296222,C00996,0.0,False
美团,17323134,C11328,4.3,True
美团,17334483,C11472,4.7,True
美团,17338598,C11258,4.5,True
美团,17369039,C11413,3.9,True
美团,17401161,C08204,4.1,True
美团,17401307,C00703,4.5,True
美团,17401412,C09209,4.4,True
美团,17436897,C11448,0.0,False
美团,17450172,C13632,4.2,True
美团,17452258,C04676,0.0,False
美团,17543868,C11499,0.0,False
美团,17597223,C11330,4.4,True
美团,17607180,C11437,4.7,True
美团,17624479,C11429,0.0,False
美团,17651012,C14823,0.0,False
美团,17651442,C00460,0.0,True
美团,17651461,C11458,4.8,True
美团,17660475,C08309,0.0,True
美团,17716668,C02866,3.9,True
美团,17732032,C03009,4.7,True
美团,17805681,C05901,4.6,True
美团,17805803,C08048,0.0,True
美团,17822099,C00758,4.8,True
美团,17861855,C11581,4.7,True
美团,17887351,C11603,4.4,True
美团,17898403,C03818,4.4,False
美团,17926654,C11560,4.6,True
美团,17943928,C01216,4.8,True
美团,17948098,C07814,3.8,True
美团,17965494,C00162,4.1,True
美团,17966434,C01999,4.4,True
美团,17966530,C11640,4.5,True
美团,17979084,C11596,4.4,True
美团,18040143,C11745,4.5,True
美团,18071376,C00391,0.0,True
美团,18110397,C11850,0.0,False
美团,18122225,C01018,0.0,False
美团,18142410,C11609,4.7,True
美团,1816501,C01095,4.1,True
美团,18196742,C03299,0.0,True
美团,18196889,C01849,4.5,True
美团,18263568,C11709,0.0,True
美团,18275922,C11565,0.0,False
美团,18276211,C11840,4.4,False
美团,18282959,C07642,4.3,True
美团,18287360,C11889,4.3,True
美团,18301342,C11792,4.3,True
美团,18302621,C11748,0.0,False
美团,18313221,C11810,4.6,True
美团,18338465,C11762,4.7,True
美团,18338564,C04246,4.1,True
美团,18378641,C11259,4.5,False
美团,18379523,C11812,0.0,False
美团,18381545,C11771,4.6,True
美团,1841001,C02477,0.0,True
美团,184295,C02183,4.7,True
美团,18433172,C06017,4.3,True
美团,18444941,C11743,4.8,True
美团,18454312,C11761,4.4,True
美团,18454452,C11204,4.7,True
美团,18454652,C11442,2.9,True
美团,18478237,C10646,0.0,True
美团,18480264,C11873,4.7,True
美团,18493189,C11932,4.0,True
美团,18502669,C11881,0.0,False
美团,18506892,C08198,4.6,True
美团,1850898,C01099,4.5,True
美团,18535852,C01100,0.0,False
美团,18625698,C11856,4.7,True
美团,18626004,C11742,4.2,True
美团,18635463,C12039,4.8,True
美团,1866253,C02978,4.2,False
美团,18671121,C12029,4.4,True
美团,18671212,C11756,0.0,True
美团,18808582,C08937,0.0,False
美团,18866059,C12086,4.5,True
美团,18902218,C12133,0.0,True
美团,18927120,C02690,4.4,True
美团,18935340,C12045,4.3,True
美团,19004357,C12210,4.6,True
美团,19073914,C12251,0.0,True
美团,19088943,C11397,0.0,True
美团,19091197,C12302,4.5,True
美团,19091599,C11878,4.4,True
美团,19100676,C12215,4.6,True
美团,19110283,C12237,0.0,False
美团,1911031,C02629,4.6,True
美团,19127496,C12306,4.5,True
美团,1915508,C00986,4.4,True
美团,19156598,C12377,0.0,False
美团,19161398,C14851,4.4,True
美团,19174824,C01842,4.3,True
美团,19191303,C00499,4.8,True
美团,19199032,C12396,4.6,True
美团,19204345,C02665,4.7,True
美团,19217992,C10418,0.0,True
美团,19218689,C11275,0.0,False
美团,19265129,C11809,0.0,True
美团,19313267,C12387,4.6,True
美团,19323533,C00766,3.8,True
美团,19323732,C11088,0.0,True
美团,19358022,C10634,0.0,False
美团,19358068,C04902,0.0,True
美团,19361685,C12441,0.0,False
美团,19393063,C12257,4.9,True
美团,19429787,C12452,4.5,True
美团,19440713,C01128,4.5,True
美团,19455979,C12028,0.0,False
美团,19509040,C13543,4.2,True
美团,19520217,C12438,0.0,True
