平台,C门店ID,平台ID,最新评分,均值评分,最新店铺分,记录数
美团,C14568,29310495,4.6,4.65,99.0,30
美团,C14569,29102428,4.2,4.453333333333333,78.0,30
美团,C14571,5473924,0.0,0.0,63.0,25
美团,C14572,24834468,4.1,4.226666666666667,87.0,30
美团,C14588,28933086,0.0,0.0,49.0,30
美团,C14590,9614243,4.7,4.66,77.0,30
美团,C14603,29427387,4.7,4.743333333333334,79.0,30
美团,C14612,29675062,4.7,4.69,96.0,30
美团,C14616,29271374,4.0,1.8666666666666667,75.0,30
美团,C14627,399585,4.6,4.6,78.0,30
美团,C14633,14245649,4.5,4.586666666666667,78.0,30
美团,C14640,31565412,0.0,0.0,27.0,30
美团,C14651,29801200,4.5,3.32,71.0,30
美团,C14661,30036090,4.6,4.636666666666667,99.0,30
美团,C14662,30235494,4.4,4.564,58.0,25
美团,C14668,30232740,0.0,0.0,63.0,25
美团,C14707,9523751,4.4,4.306666666666667,78.0,30
美团,C14709,30406107,4.6,4.6,78.0,30
美团,C14720,30179765,0.0,0.0,37.0,5
美团,C14725,30347033,0.0,0.0,65.0,30
美团,C14731,30347048,4.4,4.19,95.0,30
美团,C14779,30610997,0.0,0.0,72.0,30
美团,C14793,30986849,4.4,4.493333333333334,92.0,30
美团,C14803,30826021,4.6,4.666666666666667,99.0,30
美团,C14820,20574320,4.3,4.376,0.0,25
美团,C14823,17651012,0.0,0.0,58.0,7
美团,C14829,31108028,4.6,4.576666666666666,99.0,30
美团,C14851,19161398,4.4,4.453333333333333,97.0,30
美团,C14861,31882495,0.0,0.0,37.0,25
美团,C14862,31422849,4.3,4.52,96.0,30
美团,C14905,5806434,4.4,4.36,97.0,30
美团,C14906,31977433,4.3,4.383333333333334,98.0,30
美团,C14927,31937398,4.2,4.248,36.0,25
美团,C14930,32107817,0.0,3.0959999999999996,50.0,25
美团,C14949,32061644,4.2,4.1,96.0,30
美团,C14978,32392502,4.3,4.288,58.0,25
美团,C14988,33275100,0.0,0.0,0.0,30
美团,C14990,33358896,4.6,4.656666666666666,99.0,30
美团,C14991,32248280,4.5,4.6,96.0,30
美团,C14996,32721313,4.5,4.579999999999999,96.0,30
美团,C14998,32445247,4.6,4.683333333333334,99.0,30
美团,C14999,5162924,4.2,4.304,48.0,25
美团,C15001,32508356,4.3,4.413333333333333,98.0,30
美团,C15002,32571365,4.5,4.5,98.0,30
美团,C15009,33102213,4.5,4.6466666666666665,96.0,30
美团,C15010,32782314,4.0,4.0,68.0,30
美团,C15015,33363160,4.3,4.386666666666667,95.0,30
美团,C15018,20878676,4.3,4.52,68.0,30
美团,C15019,32957511,4.7,4.7,98.0,30
美团,C15039,33291522,0.0,0.0,47.0,30
美团,C15041,3766460,4.6,4.483333333333333,97.0,30
美团,C15076,24420792,4.3,4.430000000000001,92.0,30
美团,,13207839,0.0,0.0,33.0,25
美团,,13213587,0.0,0.0,39.0,25
美团,,13534399,0.0,0.0,36.0,25
美团,,13807540,0.0,0.0,39.0,25
美团,,14549584,0.0,0.0,42.0,25
美团,,14634679,0.0,0.0,33.0,25
美团,,14737402,0.0,0.0,37.0,25
美团,,14959356,0.0,0.0,33.0,25
美团,,16008250,0.0,0.0,57.0,12
美团,,17191876,0.0,0.0,36.0,25
美团,,17436897,0.0,0.0,39.0,25
美团,,17452258,0.0,0.0,58.0,11
美团,,17624479,0.0,0.0,40.0,25
美团,,18379523,0.0,0.0,39.0,1
美团,,18502669,0.0,0.0,33.0,25
美团,,18535852,0.0,0.0,40.0,25
美团,,18808582,0.0,0.0,38.0,4
美团,,19110283,0.0,0.0,39.0,18
美团,,19760978,0.0,0.0,31.0,25
美团,,19834078,0.0,0.0,38.0,25
美团,,20281704,0.0,0.0,38.0,25
美团,,20517945,0.0,0.0,38.0,25
美团,,21138373,0.0,0.0,35.0,25
美团,,21376468,0.0,0.0,38.0,1
美团,,21665743,0.0,0.0,33.0,25
美团,,21784444,0.0,0.0,34.0,25
美团,,23099381,0.0,0.0,38.0,25
美团,,24333944,0.0,0.0,26.0,25
美团,,24475421,0.0,0.0,47.0,30
美团,,25024186,0.0,0.0,29.0,25
美团,,25522543,0.0,0.0,34.0,25
美团,,25525978,0.0,0.0,50.0,25
美团,,25576271,0.0,0.0,39.0,25
美团,,25594298,0.0,0.0,49.0,7
美团,,25656421,0.0,0.0,35.0,25
美团,,25985071,0.0,0.0,39.0,25
美团,,26386622,0.0,0.0,33.0,25
美团,,27900235,0.0,0.0,36.0,25
美团,,29507937,0.0,0.0,22.0,30
美团,,33013437,0.0,0.0,86.0,4
美团,,33527951,0.0,0.0,80.0,30
美团,,33627123,4.5,4.566666666666666,74.0,30
美团,,33737713,4.6,4.593333333333333,91.0,30
美团,,33738020,0.0,0.0,78.0,22
