门店ID,门店名称,分公司,战区,省区,办事处,门店状态,门店类型,加盟&直营,门店分类,美团id,饿了么id,京东秒送id,微盟小程序id,口碑id,美团团购id,抖音id,快手id,高德平台id,TCODE,是否能做线上
C06011,西安凤城五路人人乐店,陕西公司,西安战区,陕西省区,西安办,关店,专卖店,加盟,街铺,,,,,,,,,,1,是
C06012,三明尤溪大润发专卖店,江西公司,福州战区,福建省区,闽北办,关店,专卖店,加盟,商超,17191876,300676557,,6014015168849,318513,1204520383,6903640964280092672,6724909544086933511,,1,是
C06013,高新阳门外贸学院店,江西公司,南昌一战区,江西一区,南昌二办,正常营业,专卖店,加盟,街铺,7879952,304891615,16189137.0,6015116175849,317985,970601761,6728310097803544587,6724909377448552517,2026031011077000000115354015|xiniu_xgc_bgc,1,是
C06015,三明沙县新华都专卖店,江西公司,福州战区,福建省区,福州办,关店,专卖店,加盟,商超,7714137,,,,318514,,,,,1,是
C06016,河源紫金步行街专卖店,广东公司,东莞战区,广东省区,惠汕办,关店,专卖店,加盟,街铺,,,,,,1404537346,,,,1,是
C06017,宜春国安路店,江西公司,宜春战区,江西二区,宜春办,正常营业,专卖店,加盟,街铺,18433172,167535057,16256693.0,6015167831849,600299,1881706272,6737551506964269059,3003872393211651498,,1,是
C06018,青岛市南家乐福名达店,浙江公司,青岛战区,山东省区,青岛办,关店,专卖店,加盟,商超,7957460,2001415647,,6015070300849,316092,1053356102,,,,1,是
C06019,西安华润万家朝阳门店,陕西公司,西安战区,陕西省区,西安办,关店,专卖店,加盟,商超,7576694,500948304,,,317013,552632275,,,,1,是
C06020,河南郑州港区长安路丹尼斯店,陕西公司,郑州战区,河南省区,河南外阜办,关店,专卖店,加盟,商超,18632337,2043390619,,6013998618849,316243,1224491757,6850100614945376256,,,1,是
C06021,广州番禺钟村雄峰城店,广东公司,广州战区,广东省区,广佛办,关店,专卖店,加盟,街铺,10052954,,,6014299429849,600071,,,,,1,是
C06022,广州花都卜蜂莲花专卖店,广东公司,广州战区,广东省区,广佛办,关店,专柜店,加盟,商超,7958435,2043593204,,,,,,,,1,是
C06025,宜春礼江生活超市店,江西公司,宜春战区,江西二区,宜春办,关店,专卖店,加盟,商超,9680792,,,,,,,,,1,是
C06028,杭州余杭万达永辉店,浙江公司,杭州战区,浙江省区,杭州办,关店,专卖店,加盟,综合体,7712598,300661186,,,318002,849976975,,,,1,是
C06029,赤峰万达店,陕西公司,沈阳战区,辽吉省区,辽吉外阜办,关店,专卖店,加盟,综合体,8103869,502566582,,6015119297849,320785,1187945023,6720051121236330504,6724909487905603596,,1,是
C06030,重庆渝北沃尔玛园区店,重庆公司,重庆战区,川渝省区,重庆办,关店,专卖店,加盟,商超,7798484,336822701,,,,522835623,,,,1,是
C06031,醴陵人人乐店,江西公司,长沙战区,湖南省区,株洲办,关店,专卖店,加盟,综合体,7892875,,,,320905,1940105769,,,,1,是
C06032,宜春高士北路步步高超市店,江西公司,宜春战区,江西二区,宜春办,关店,专卖店,加盟,综合体,,,,,,,,,,1,是
C06033,北京永辉尚峰广场店,陕西公司,北京战区,京津冀省区,北京办,关店,专卖店,加盟,商超,13485437,506245964,,6015115580849,316178,,,6724909488501642250,,1,是
C06035,河源市和平县宏昌专卖店,广东公司,东莞战区,广东省区,惠汕办,关店,专卖店,加盟,综合体,8276685,300651499,,6014253128849,318260,1099211008,6937781157429774369,6724909308178071033,,1,是
C06036,山东聊城东昌府大润发店,浙江公司,青岛战区,山东省区,济南办,关店,专卖店,加盟,商超,8458032,2032115037,,6015061197849,316152,1403627816,6743791456273680396,2161848582064707834,,1,是
C06037,安徽太和大润发,浙江公司,苏州战区,安徽办,安徽办,正常营业,专卖店,加盟,街铺,15316757,1102754838,16383943.0,6015465517849,,1223582581,7099399403500210209,3002913706740749356,2025112011077000000113754351|xiniu_xgc_bgc,1,是
C06039,青岛黄岛利群长江商厦,浙江公司,青岛战区,山东省区,青岛办,关店,专卖店,加盟,商超,cover_C06039_7725691,cover_C06039_300651339,,6015071108849,316094,641680267,,,,1,是
C06040,钦州仟仟万家超市专卖店,广东公司,南宁战区,广西省区,南宁办,关店,专卖店,加盟,商超,,,,,,699794974,,,,1,是
C06041,直属北京宣化永辉店,陕西公司,北京战区,京津冀省区,北京办,关店,专卖店,直营,街铺,13485438,,,,318277,663367796,,,,1,是
C06042,济南市中山水大润发店,浙江公司,青岛战区,山东省区,济南办,关店,专卖店,加盟,商超,7923339,2001305624,,6015060197849,316151,1022040615,,6724909544107434390,,1,是
C06043,杭州东站出发层4店,浙江公司,杭州战区,浙江省区,杭州办,关店,专卖店,加盟,高势能,,,,,,,,,,1,是
C06046,鹰抚鹰潭三角线店,江西公司,抚州战区,江西一区,鹰抚办,关店,专卖店,加盟,街铺,,,,,317886,1863576311,,,,1,是
C06047,桂林正阳步行街钟楼专卖店,广东公司,南宁战区,广西省区,柳桂办,关店,专卖店,加盟,街铺,5551665,,,,,1181363020,,,,1,是
C06048,大连中央大道店（禁用）,陕西公司,沈阳战区,辽吉省区,大连办,关店,专卖店,加盟,,,,,,,,,,,1,是
C06049,龙岩武平新天广场专卖店,江西公司,厦门战区,福建省区,闽南办,关店,专卖店,加盟,街铺,cover_C06049_8567600,,,,,,,,,1,是
C06050,湖北通山广福购物广场店,江西公司,九江战区,湖北办,湖北办,关店,专卖店,加盟,商超,7828783,500797224.0,,6015320843849,317892,979699624,6810926453887076356,,,1,是
C06051,九江东至香隅店,江西公司,九江战区,江西二区,九江办,关店,专卖店,加盟,街铺,,,,6015674914849,319916,,7223578316605753384,3003730920990807386,,1,是
C06053,直属万达金街嗨鸭店,江西公司,嗨鸭项目组,江西一区,南昌一办,关店,专卖店,直营,综合体,13402509,2119665667,,,,1039311634.0,6601167011428960269,3003807947995715859,,1,是
C06055,赣州张家围店,江西公司,赣州战区,江西一区,赣州办,关店,专卖店,加盟,街铺,,,,6015166143849,316072,,6601139828379617284,3002504153527657161,,1,是
C06056,郴州友阿国际广场店,江西公司,长沙战区,湖南省区,衡邵办,关店,专卖店,加盟,综合体,7890986,,,,318623,831366515,,,,1,是
C06058,贵阳观山湖云上方舟店,重庆公司,贵阳战区,云贵省区,贵阳办,关店,专卖店,加盟,商超,7858091,501085931,,6015018320849,318248,1471891432,6995059620016293902,3002076499422253420,,1,是
C06061,温州谢池商城专卖店,浙江公司,杭州战区,福建省区,浙南办,关店,专卖店,加盟,特殊渠道,,,,,,,,,,1,是
C06062,杭州上亿广场2店,浙江公司,杭州战区,浙江省区,杭州办,关店,专卖店,加盟,综合体,7697589,300023691,,6013952861849,318001,1661173970,6852970484825393165,3003589689239809887,,1,是
C06063,韶关乳源专卖店,广东公司,广州战区,广东省区,广佛办,关店,专卖店,加盟,商超,9457721,2135936302,,6014224582849,317493,1877306758,6870412582080071695,,,1,是
C06067,河源连平万悦店,广东公司,东莞战区,广东省区,惠汕办,关店,专卖店,加盟,商超,7964710,,,6015264276849,318262,530637167,6732861767942277124,6724909544079479229,,1,是
C06068,贵阳清镇新华路店,重庆公司,贵阳战区,云贵省区,贵阳办,关店,专卖店,加盟,街铺,18406882,501171461,,6015018321849,318242,1098236255,6861965395130124291,6724909544069338792,,1,是
C06070,河南郑州人民路丹尼斯店,陕西公司,郑州战区,河南省区,郑州办,关店,专卖店,加盟,街铺,8374854,2042708123,,,,95417747,,,,1,是
